zn,fe,cu,mn,b,s,district_name,zn_adequate,fe_adequate,cu_adequate,mn_adequate,b_adequate,s_adequate,soil_quality_index
72.88,77.74,93.46,30.2,65.71,76.54,Ambala,1,1,1,0,1,1,0.8333333333333334
45.72,43.1,93.0,44.05,56.88,89.85,Bhiwani,0,0,1,0,1,1,0.5
98.14,97.29,100.0,98.96,100.0,99.91,Faridabad,1,1,1,1,1,1,1.0
66.22,32.78,94.65,37.76,68.55,89.88,Fatehabad,1,0,1,0,1,1,0.6666666666666666
78.53,78.73,94.55,74.95,36.91,94.29,Gurgaon,1,1,1,1,0,1,0.8333333333333334
69.12,43.55,97.54,70.92,70.44,97.31,Hisar,1,0,1,1,1,1,0.8333333333333334
59.61,60.73,93.92,60.81,40.16,90.49,Jhajjar,1,1,1,1,0,1,0.8333333333333334
72.28,82.34,98.8,67.59,42.83,91.78,Jind,1,1,1,1,0,1,0.8333333333333334
61.93,58.42,98.94,26.62,52.0,88.85,Kaithal,1,1,1,0,1,1,0.8333333333333334
89.55,85.35,98.13,72.54,59.71,95.61,Karnal,1,1,1,1,1,1,1.0
86.17,85.56,98.45,59.29,65.96,91.62,Kurukshetra,1,1,1,1,1,1,1.0
68.6,32.14,95.04,82.33,47.59,83.19,Mahendragarh,1,0,1,1,0,1,0.6666666666666666
79.35,73.38,93.67,75.53,93.94,88.05,Nuh,1,1,1,1,1,1,1.0
59.97,59.86,96.86,50.48,54.75,88.34,Palwal,1,1,1,1,1,1,1.0
93.87,95.04,99.23,80.65,34.54,97.1,Panchkula,1,1,1,1,0,1,0.8333333333333334
69.93,83.33,98.96,65.86,66.15,96.68,Panipat,1,1,1,1,1,1,1.0
78.99,71.13,94.85,72.25,57.65,96.02,Rewari,1,1,1,1,1,1,1.0
43.19,62.44,93.61,57.42,47.85,84.81,Rohtak,0,1,1,1,0,1,0.6666666666666666
69.43,41.44,94.54,54.04,69.78,94.47,Sirsa,1,0,1,1,1,1,0.8333333333333334
82.77,37.68,98.02,35.38,34.42,98.74,Sonipat,1,0,1,0,0,1,0.5
91.1,92.92,99.0,82.72,82.27,94.07,Yamunanagar,1,1,1,1,1,1,1.0
